new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
30300,0.95038,-0.12942,0.00006,0.00002,0.00346,0.99647,0.99873
30400,0.95053,-0.13084,0.00006,0.00002,0.00341,0.99651,0.99874
30500,0.95069,-0.14083,0.00005,0.00002,0.00339,0.99655,0.99877
30600,0.95084,-0.13818,0.00005,0.00002,0.00338,0.99656,0.99877
30700,0.95099,-0.14392,0.00005,0.00002,0.00333,0.99660,0.99879
30800,0.95115,-0.14984,0.00005,0.00002,0.00332,0.99661,0.99879
30900,0.95130,-0.15151,0.00005,0.00002,0.00331,0.99662,0.99879
31000,0.95145,-0.15758,0.00005,0.00002,0.00327,0.99667,0.99881
31100,0.95159,-0.16372,0.00005,0.00002,0.00326,0.99668,0.99881
31200,0.95174,-0.16982,0.00005,0.00002,0.00322,0.99672,0.99883
31300,0.95189,-0.17162,0.00005,0.00002,0.00318,0.99676,0.99884
31400,0.95203,-0.16914,0.00005,0.00002,0.00317,0.99677,0.99884
31500,0.95218,-0.16658,0.00005,0.00002,0.00316,0.99678,0.99885
31600,0.95232,-0.16849,0.00005,0.00002,0.00312,0.99682,0.99886
31700,0.95247,-0.16608,0.00005,0.00002,0.00311,0.99683,0.99886
31800,0.95261,-0.16359,0.00005,0.00002,0.00310,0.99684,0.99887
31900,0.95275,-0.16106,0.00005,0.00002,0.00309,0.99685,0.99887
32000,0.95289,-0.15864,0.00004,0.00001,0.00309,0.99685,0.99887
32100,0.95303,-0.15601,0.00004,0.00001,0.00308,0.99686,0.99888
32200,0.95317,-0.15794,0.00004,0.00001,0.00304,0.99690,0.99889
32300,0.95331,-0.15992,0.00004,0.00001,0.00303,0.99691,0.99889
32400,0.95345,-0.16200,0.00004,0.00001,0.00302,0.99692,0.99890
32500,0.95358,-0.16402,0.00004,0.00001,0.00298,0.99696,0.99891
32600,0.95372,-0.16162,0.00004,0.00001,0.00297,0.99697,0.99891
32700,0.95385,-0.15910,0.00004,0.00001,0.00296,0.99698,0.99892
32800,0.95399,-0.16124,0.00004,0.00001,0.00295,0.99699,0.99892
32900,0.95412,-0.15877,0.00004,0.00001,0.00295,0.99700,0.99892
33000,0.95425,-0.15633,0.00004,0.00001,0.00294,0.99700,0.99893
33100,0.95439,-0.15389,0.00004,0.00001,0.00293,0.99701,0.99893
33200,0.95452,-0.15599,0.00004,0.00001,0.00289,0.99705,0.99894
33300,0.95465,-0.15819,0.00004,0.00001,0.00285,0.99709,0.99895
33400,0.95478,-0.16040,0.00004,0.00001,0.00282,0.99712,0.99897
33500,0.95491,-0.16721,0.00004,0.00001,0.00275,0.99719,0.99899
33600,0.95503,-0.16479,0.00004,0.00001,0.00274,0.99720,0.99899
33700,0.95516,-0.16702,0.00004,0.00001,0.00274,0.99721,0.99899
33800,0.95529,-0.16930,0.00004,0.00001,0.00273,0.99721,0.99900
33900,0.95541,-0.16696,0.00004,0.00001,0.00272,0.99722,0.99900
34000,0.95554,-0.16469,0.00004,0.00001,0.00271,0.99723,0.99900
34100,0.95566,-0.16229,0.00004,0.00001,0.00271,0.99724,0.99901
34200,0.95579,-0.15996,0.00004,0.00001,0.00270,0.99725,0.99901
34300,0.95591,-0.15758,0.00004,0.00001,0.00269,0.99725,0.99901
34400,0.95603,-0.15525,0.00004,0.00001,0.00268,0.99726,0.99901
34500,0.95616,-0.15763,0.00004,0.00001,0.00268,0.99727,0.99902
34600,0.95628,-0.15524,0.00004,0.00001,0.00267,0.99728,0.99902
34700,0.95640,-0.15287,0.00004,0.00001,0.00266,0.99728,0.99902
34800,0.95652,-0.15053,0.00004,0.00001,0.00265,0.99729,0.99903
34900,0.95664,-0.15297,0.00004,0.00001,0.00262,0.99733,0.99904
35000,0.95675,-0.15060,0.00004,0.00001,0.00261,0.99733,0.99904
35100,0.95687,-0.15309,0.00004,0.00001,0.00260,0.99734,0.99904
35200,0.95699,-0.15081,0.00004,0.00001,0.00260,0.99735,0.99904
35300,0.95711,-0.16815,0.00003,0.00001,0.00255,0.99741,0.99907
35400,0.95722,-0.16589,0.00003,0.00001,0.00254,0.99742,0.99908
35500,0.95734,-0.16357,0.00003,0.00001,0.00254,0.99742,0.99908
35600,0.95745,-0.16134,0.00003,0.00001,0.00253,0.99743,0.99908
35700,0.95757,-0.15906,0.00003,0.00001,0.00252,0.99744,0.99908
35800,0.95768,-0.15685,0.00003,0.00001,0.00252,0.99744,0.99909
