new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
2160,0.57723,0.01437,0.01390,0.00936,0.15111,0.82563,0.92886
2170,0.57836,0.01411,0.01386,0.00933,0.15070,0.82610,0.92906
2180,0.57948,0.01505,0.01383,0.00931,0.15031,0.82656,0.92924
2190,0.58059,0.01552,0.01379,0.00928,0.14990,0.82703,0.92943
2200,0.58170,0.01431,0.01361,0.00912,0.14935,0.82791,0.92989
2210,0.58281,0.01420,0.01358,0.00910,0.14895,0.82838,0.93008
2220,0.58390,0.01389,0.01354,0.00894,0.14854,0.82898,0.93036
2230,0.58499,0.01266,0.01323,0.00891,0.14814,0.82971,0.93081
2240,0.58608,0.01372,0.01320,0.00889,0.14776,0.83015,0.93099
2250,0.58716,0.01358,0.01317,0.00873,0.14700,0.83109,0.93143
2260,0.58824,0.01415,0.01313,0.00871,0.14634,0.83181,0.93170
2270,0.58930,0.01499,0.01310,0.00869,0.14597,0.83224,0.93187
2280,0.59037,0.01591,0.01306,0.00867,0.14558,0.83269,0.93205
2290,0.59143,0.01572,0.01303,0.00864,0.14519,0.83313,0.93223
2300,0.59248,0.01653,0.01300,0.00862,0.14456,0.83382,0.93249
2310,0.59353,0.01560,0.01296,0.00860,0.14339,0.83505,0.93293
2320,0.59457,0.01538,0.01280,0.00858,0.14261,0.83602,0.93337
2330,0.59560,0.01552,0.01276,0.00855,0.14224,0.83645,0.93354
2340,0.59663,0.01557,0.01273,0.00853,0.14188,0.83686,0.93371
2350,0.59766,0.01569,0.01270,0.00851,0.14151,0.83728,0.93388
2360,0.59868,0.01715,0.01267,0.00849,0.14116,0.83769,0.93405
2370,0.59970,0.01564,0.01263,0.00847,0.14053,0.83837,0.93430
2380,0.60071,0.01556,0.01260,0.00844,0.13991,0.83905,0.93456
2390,0.60171,0.01394,0.01257,0.00842,0.13927,0.83975,0.93482
2400,0.60271,0.01456,0.01253,0.00840,0.13865,0.84042,0.93507
2410,0.60371,0.01374,0.01250,0.00825,0.13803,0.84122,0.93540
2420,0.60470,0.01364,0.01247,0.00823,0.13771,0.84158,0.93556
2430,0.60568,0.01334,0.01244,0.00821,0.13736,0.84199,0.93572
2440,0.60666,0.01286,0.01241,0.00793,0.13701,0.84265,0.93605
2450,0.60764,0.01272,0.01238,0.00766,0.13640,0.84356,0.93647
2460,0.60861,0.01205,0.01222,0.00751,0.13568,0.84460,0.93696
2470,0.60958,0.01243,0.01219,0.00736,0.13533,0.84512,0.93721
2480,0.61054,0.01157,0.01216,0.00734,0.13473,0.84576,0.93745
2490,0.61149,0.01035,0.01213,0.00733,0.13313,0.84742,0.93802
2500,0.61244,0.01001,0.01210,0.00731,0.13204,0.84856,0.93843
2510,0.61339,0.01001,0.01206,0.00729,0.13121,0.84944,0.93875
2520,0.61433,0.01017,0.01203,0.00727,0.13088,0.84982,0.93890
2530,0.61527,0.01173,0.01200,0.00725,0.13030,0.85044,0.93913
2540,0.61621,0.01240,0.01197,0.00723,0.12997,0.85082,0.93928
2550,0.61713,0.01220,0.01195,0.00722,0.12968,0.85115,0.93942
2560,0.61806,0.01129,0.01192,0.00708,0.12911,0.85189,0.93973
2570,0.61898,0.01177,0.01189,0.00706,0.12879,0.85226,0.93988
2580,0.61989,0.00981,0.01161,0.00692,0.12823,0.85324,0.94044
2590,0.62081,0.00923,0.01158,0.00690,0.12766,0.85385,0.94066
2600,0.62171,0.00934,0.01143,0.00688,0.12747,0.85421,0.94089
