new_seeds_number,new_seeds_frac,omega,j0,j1,j2,j3,HAGBs_frac
293,0.15627,0.05541,0.05332,0.04662,0.41206,0.48800,0.77768
294,0.15672,0.05398,0.05329,0.04660,0.41183,0.48828,0.77780
295,0.15717,0.05462,0.05326,0.04657,0.41160,0.48857,0.77792
296,0.15761,0.05595,0.05323,0.04654,0.41137,0.48885,0.77804
297,0.15806,0.05452,0.05320,0.04624,0.41114,0.48942,0.77835
298,0.15851,0.05378,0.05290,0.04621,0.41119,0.48970,0.77865
299,0.15896,0.05305,0.05259,0.04619,0.41124,0.48998,0.77896
300,0.15940,0.05367,0.05256,0.04616,0.41101,0.49027,0.77908
301,0.15985,0.05565,0.05253,0.04614,0.41078,0.49055,0.77920
302,0.16030,0.05558,0.05222,0.04611,0.41028,0.49139,0.77968
303,0.16074,0.05552,0.05219,0.04609,0.41005,0.49167,0.77980
304,0.16119,0.05477,0.05216,0.04606,0.40982,0.49195,0.77992
305,0.16163,0.05470,0.05214,0.04603,0.40960,0.49224,0.78004
306,0.16208,0.05663,0.05211,0.04601,0.40937,0.49252,0.78016
307,0.16252,0.05521,0.05208,0.04598,0.40914,0.49280,0.78028
308,0.16296,0.05646,0.05205,0.04596,0.40891,0.49308,0.78040
309,0.16341,0.05837,0.05202,0.04593,0.40869,0.49336,0.78052
310,0.16385,0.05695,0.05199,0.04591,0.40846,0.49364,0.78064
311,0.16429,0.05488,0.05196,0.04588,0.40824,0.49392,0.78076
312,0.16473,0.05413,0.05193,0.04586,0.40801,0.49420,0.78088
313,0.16517,0.05404,0.05163,0.04555,0.40861,0.49420,0.78118
314,0.16561,0.05657,0.05160,0.04553,0.40839,0.49448,0.78130
315,0.16605,0.05712,0.05157,0.04550,0.40816,0.49476,0.78142
316,0.16649,0.05832,0.05154,0.04548,0.40794,0.49504,0.78154
317,0.16693,0.06016,0.05152,0.04545,0.40771,0.49532,0.78166
318,0.16737,0.05874,0.05121,0.04543,0.40776,0.49559,0.78196
319,0.16781,0.05975,0.05120,0.04542,0.40765,0.49573,0.78204
320,0.16824,0.05963,0.05117,0.04539,0.40743,0.49601,0.78215
321,0.16868,0.05886,0.05114,0.04537,0.40665,0.49684,0.78245
322,0.16912,0.05874,0.05084,0.04534,0.40671,0.49711,0.78275
323,0.16955,0.05862,0.05054,0.04504,0.40676,0.49767,0.78323
324,0.16999,0.05977,0.05051,0.04502,0.40653,0.49794,0.78335
325,0.17042,0.06155,0.05048,0.04499,0.40631,0.49822,0.78346
326,0.17086,0.06204,0.05045,0.04497,0.40609,0.49849,0.78358
327,0.17129,0.06317,0.05042,0.04494,0.40586,0.49877,0.78370
